file_path	existing_contributors	after_contributors
../../data/persons/tei/43.xml	Jakob Shub-Oseledchik; Nathan P. Gibson; Maximilian de Molière; Peter Tarras; Sara Mattutat; Maurizio Boehm; Lea Gzella; Annabelle Fuchs; Lea Poralla; Masoumeh Seydi; Jonathan Beise; Polina Lakteikina; Ezra Stadler; Gregor Schwarb; Lukas Froschmeier; Nadine Urbiczek	Jonathan Beise; Maurizio Boehm; Lukas Froschmeier; Annabelle Fuchs; Nathan P. Gibson; Lea Gzella; Polina Lakteikina; Sara Mattutat; Maximilian de Molière; Lea Poralla; Gregor Schwarb; Masoumeh Seydi; Jakob Shub-Oseledchik; Ezra Stadler; Peter Tarras; Nadine Urbiczek
../../data/persons/tei/25.xml	Jakob Shub-Oseledchik; Masoumeh Seydi; Jonathan Beise; Nathan P. Gibson; Ezra Stadler; Maximilian de Molière; Gregor Schwarb; Sara Mattutat	Jonathan Beise; Maurizio Boehm; Lukas Froschmeier; Annabelle Fuchs; Nathan P. Gibson; Lea Gzella; Polina Lakteikina; Sara Mattutat; Maximilian de Molière; Lea Poralla; Gregor Schwarb; Masoumeh Seydi; Jakob Shub-Oseledchik; Ezra Stadler; Peter Tarras; Nadine Urbiczek
../../data/persons/tei/9.xml	Jakob Shub-Oseledchik; Masoumeh Seydi; Jonathan Beise; Nathan P. Gibson; Ezra Stadler; Maximilian de Molière; Gregor Schwarb; Sara Mattutat	Jonathan Beise; Maurizio Boehm; Lukas Froschmeier; Annabelle Fuchs; Nathan P. Gibson; Lea Gzella; Polina Lakteikina; Sara Mattutat; Maximilian de Molière; Lea Poralla; Gregor Schwarb; Masoumeh Seydi; Jakob Shub-Oseledchik; Ezra Stadler; Peter Tarras; Nadine Urbiczek
../../data/persons/tei/2.xml	Jakob Shub-Oseledchik; Nathan P. Gibson; Maximilian de Molière; Peter Tarras; Sara Mattutat; Maurizio Boehm; Lea Gzella; Annabelle Fuchs; Lea Poralla; Masoumeh Seydi; Jonathan Beise; Polina Lakteikina; Ezra Stadler; Gregor Schwarb; Lukas Froschmeier; Nadine Urbiczek	Jonathan Beise; Maurizio Boehm; Lukas Froschmeier; Annabelle Fuchs; Nathan P. Gibson; Lea Gzella; Polina Lakteikina; Sara Mattutat; Maximilian de Molière; Lea Poralla; Gregor Schwarb; Masoumeh Seydi; Jakob Shub-Oseledchik; Ezra Stadler; Peter Tarras; Nadine Urbiczek
../../data/persons/tei/4.xml	Jakob Shub-Oseledchik; Masoumeh Seydi; Jonathan Beise; Nathan P. Gibson; Ezra Stadler; Maximilian de Molière; Gregor Schwarb; Sara Mattutat	Jonathan Beise; Maurizio Boehm; Lukas Froschmeier; Annabelle Fuchs; Nathan P. Gibson; Lea Gzella; Polina Lakteikina; Sara Mattutat; Maximilian de Molière; Lea Poralla; Gregor Schwarb; Masoumeh Seydi; Jakob Shub-Oseledchik; Ezra Stadler; Peter Tarras; Nadine Urbiczek
../../data/persons/tei/7.xml	Jakob Shub-Oseledchik; Masoumeh Seydi; Jonathan Beise; Nathan P. Gibson; Ezra Stadler; Maximilian de Molière; Gregor Schwarb; Sara Mattutat	Jonathan Beise; Maurizio Boehm; Lukas Froschmeier; Annabelle Fuchs; Nathan P. Gibson; Lea Gzella; Polina Lakteikina; Sara Mattutat; Maximilian de Molière; Lea Poralla; Gregor Schwarb; Masoumeh Seydi; Jakob Shub-Oseledchik; Ezra Stadler; Peter Tarras; Nadine Urbiczek
../../data/persons/tei/22.xml	Jakob Shub-Oseledchik; Masoumeh Seydi; Jonathan Beise; Nathan P. Gibson; Ezra Stadler; Maximilian de Molière; Gregor Schwarb; Sara Mattutat	Jonathan Beise; Maurizio Boehm; Lukas Froschmeier; Annabelle Fuchs; Nathan P. Gibson; Lea Gzella; Polina Lakteikina; Sara Mattutat; Maximilian de Molière; Lea Poralla; Gregor Schwarb; Masoumeh Seydi; Jakob Shub-Oseledchik; Ezra Stadler; Peter Tarras; Nadine Urbiczek
../../data/persons/tei/11.xml	Jakob Shub-Oseledchik; Masoumeh Seydi; Jonathan Beise; Nathan P. Gibson; Ezra Stadler; Maximilian de Molière; Gregor Schwarb; Sara Mattutat	Jonathan Beise; Maurizio Boehm; Lukas Froschmeier; Annabelle Fuchs; Nathan P. Gibson; Lea Gzella; Polina Lakteikina; Sara Mattutat; Maximilian de Molière; Lea Poralla; Gregor Schwarb; Masoumeh Seydi; Jakob Shub-Oseledchik; Ezra Stadler; Peter Tarras; Nadine Urbiczek
../../data/persons/tei/20.xml	Jakob Shub-Oseledchik; Masoumeh Seydi; Jonathan Beise; Nathan P. Gibson; Ezra Stadler; Maximilian de Molière; Gregor Schwarb; Sara Mattutat	Jonathan Beise; Maurizio Boehm; Lukas Froschmeier; Annabelle Fuchs; Nathan P. Gibson; Lea Gzella; Polina Lakteikina; Sara Mattutat; Maximilian de Molière; Lea Poralla; Gregor Schwarb; Masoumeh Seydi; Jakob Shub-Oseledchik; Ezra Stadler; Peter Tarras; Nadine Urbiczek
../../data/persons/tei/30.xml	Jakob Shub-Oseledchik; Nathan P. Gibson; Maximilian de Molière; Peter Tarras; Sara Mattutat; Maurizio Boehm; Lea Gzella; Annabelle Fuchs; Lea Poralla; Masoumeh Seydi; Jonathan Beise; Polina Lakteikina; Ezra Stadler; Gregor Schwarb; Lukas Froschmeier; Nadine Urbiczek	Jonathan Beise; Maurizio Boehm; Lukas Froschmeier; Annabelle Fuchs; Nathan P. Gibson; Lea Gzella; Polina Lakteikina; Sara Mattutat; Maximilian de Molière; Lea Poralla; Gregor Schwarb; Masoumeh Seydi; Jakob Shub-Oseledchik; Ezra Stadler; Peter Tarras; Nadine Urbiczek
