ms_id	bibl_xml_id	bibl_xpath	bibl_xpath_readable	citedRange_from	citedRange_to	status	ref_ms_id	ref_locus_xpath	ref_locus_xpath_readable	ref_locus_from	ref_locus_to
1502		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[8]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	6v	existing	1479	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	6v
1502		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[9]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	6v	existing	587	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	6v
1502		/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[10]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	46v	existing	608	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	46v
1570	jalit-orgmanuscript1571	/*/*[2]/*/*/*/*[3]/*[2]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	10r	31v	existing	1571	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	10r	31v
1570	jalit-orgmanuscript1571	/*/*[2]/*/*/*/*[3]/*[2]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	37r	44v	existing	1571	/*/*[2]/*/*/*/*[2]/*[2]/*[2]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	37r	44v
1570	jalit-orgmanuscript1571	/*/*[2]/*/*/*/*[3]/*[2]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	110r-v		existing	1571	/*/*[2]/*/*/*/*[2]/*[2]/*[3]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	110r-v	
1570	jalit-orgmanuscript1571	/*/*[2]/*/*/*/*[3]/*[2]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	125r-v		existing	1571	/*/*[2]/*/*/*/*[2]/*[2]/*[4]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	125r-v	
1570	jalit-orgmanuscript1571	/*/*[2]/*/*/*/*[3]/*[2]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	150r	158v	existing	1571	/*/*[2]/*/*/*/*[2]/*[2]/*[5]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	150r	158v
1571	jalit-orgmanuscript1570	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	5r-v		existing	1570	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	5r-v	
1575	jalit-orgmanuscript1578	/*/*[2]/*/*/*/*[3]/*[1]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	1r	1v	existing	1578	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	1r	1v
