entity	file	value	xpath	attributes	attribute_values
manuscripts	1022.xml	1100-1300?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1022.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1022.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1022.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1023.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1023.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1023.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1023.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1025.xml	1300-1400	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1025.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1025.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1025.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1026.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1026.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1026.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1026.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1027.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1027.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1027.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1027.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1028.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1028.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1028.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1028.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1029.xml	1100-1300?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1029.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1029.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1029.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	103.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	103.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	103.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	103.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1030.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1030.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1030.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1030.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1031.xml	1113-1114	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1031.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1031.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1031.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1032.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1032.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1032.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1032.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1033.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
