ms_id	file	locus_xpath	locus_xpath_readable	part	action	changed	from_before	to_before	text_before	other_attrs_before	from_after	to_after	text_after	other_attrs_after	element_before	element_after	note
1420	data/manuscripts/tei/1420.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1421	data/manuscripts/tei/1421.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1422	data/manuscripts/tei/1422.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1423	data/manuscripts/tei/1423.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1424	data/manuscripts/tei/1424.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1425	data/manuscripts/tei/1425.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1426	data/manuscripts/tei/1426.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1427	data/manuscripts/tei/1427.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1428	data/manuscripts/tei/1428.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1429	data/manuscripts/tei/1429.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
143	data/manuscripts/tei/143.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1430	data/manuscripts/tei/1430.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1431	data/manuscripts/tei/1431.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1432	data/manuscripts/tei/1432.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1433	data/manuscripts/tei/1433.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1434	data/manuscripts/tei/1434.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1435	data/manuscripts/tei/1435.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1436	data/manuscripts/tei/1436.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1437	data/manuscripts/tei/1437.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
1438	data/manuscripts/tei/1438.xml	/*/*[2]/*/*/*/*[2]/*[2]/*[1]	TEI/text/body/listBibl/msDesc/msContents/msItem/locus	B	skip_empty	no									"<locus from="""" to=""""/>"	"<locus from="""" to=""""/>"	empty placeholder (no @from/@to) — nothing to render
