host_ms	bibl_xml_id	bibl_xpath_readable	ref_ms	target	ref_resolvable	would_add	would_remove	would_keep	severity	issues
189		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	181	https://jalit.org/manuscript/181	yes	0	0	0	INFO	REF_NO_LOCI
189		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	190	https://jalit.org/manuscript/190	yes	0	0	0	INFO	REF_NO_LOCI
189		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	196	https://jalit.org/manuscript/196	yes	0	0	0	INFO	REF_NO_LOCI
190		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	189	https://jalit.org/manuscript/189	yes	0	0	0	INFO	REF_NO_LOCI
190		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	148	https://jalit.org/manuscript/148	yes	0	0	0	INFO	REF_NO_LOCI
190		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	191	https://jalit.org/manuscript/191	yes	0	0	0	INFO	REF_NO_LOCI
190		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	181	https://jalit.org/manuscript/181	yes	0	0	0	INFO	REF_NO_LOCI
190		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	196	https://jalit.org/manuscript/196	yes	0	0	0	INFO	REF_NO_LOCI
191		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	189	https://jalit.org/manuscript/189	yes	0	0	0	INFO	REF_NO_LOCI
191		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	148	https://jalit.org/manuscript/148	yes	0	0	0	INFO	REF_NO_LOCI
191		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	181	https://jalit.org/manuscript/181	yes	0	0	0	INFO	REF_NO_LOCI
191		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	190	https://jalit.org/manuscript/190	yes	0	0	0	INFO	REF_NO_LOCI
191		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	196	https://jalit.org/manuscript/196	yes	0	0	0	INFO	REF_NO_LOCI
195		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	95	https://jalit.org/manuscript/95	yes	0	0	0	INFO	REF_NO_LOCI
196		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	189	https://jalit.org/manuscript/189	yes	0	0	0	INFO	REF_NO_LOCI
196		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	148	https://jalit.org/manuscript/148	yes	0	0	0	INFO	REF_NO_LOCI
196		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	191	https://jalit.org/manuscript/191	yes	0	0	0	INFO	REF_NO_LOCI
196		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	181	https://jalit.org/manuscript/181	yes	0	0	0	INFO	REF_NO_LOCI
196		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	190	https://jalit.org/manuscript/190	yes	0	0	0	INFO	REF_NO_LOCI
204		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	72	https://jalit.org/manuscript/72	yes	0	0	0	INFO	REF_NO_LOCI
204		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	239	https://jalit.org/manuscript/239	yes	0	0	0	INFO	REF_NO_LOCI
216		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	303	https://jalit.org/manuscript/303	yes	0	0	0	INFO	REF_NO_LOCI
218		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	300	https://jalit.org/manuscript/300	yes	0	0	0	INFO	REF_NO_LOCI
218		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	169	https://jalit.org/manuscript/169	yes	0	0	0	INFO	REF_NO_LOCI
219		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	302	https://jalit.org/manuscript/302	yes	0	0	0	INFO	REF_NO_LOCI
222		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	264	https://jalit.org/manuscript/264	yes	0	0	0	INFO	REF_NO_LOCI
229		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	261	https://jalit.org/manuscript/261	yes	0	0	0	INFO	REF_NO_LOCI
236		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	79	https://jalit.org/manuscript/79	yes	0	0	0	INFO	REF_NO_LOCI
239		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	72	https://jalit.org/manuscript/72	yes	0	0	0	INFO	REF_NO_LOCI
239		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	204	https://jalit.org/manuscript/204	yes	0	0	0	INFO	REF_NO_LOCI
241		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	299	https://jalit.org/manuscript/299	yes	0	0	0	INFO	REF_NO_LOCI
255		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	9	https://jalit.org/manuscript/9	yes	0	0	0	INFO	REF_NO_LOCI
258		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	266	https://jalit.org/manuscript/266	yes	0	0	0	INFO	REF_NO_LOCI
258		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	159	https://jalit.org/manuscript/159	yes	0	0	0	INFO	REF_NO_LOCI
258		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	298	https://jalit.org/manuscript/298	yes	0	0	0	INFO	REF_NO_LOCI
258		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	297	https://jalit.org/manuscript/297	yes	0	0	0	INFO	REF_NO_LOCI
258		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	296	https://jalit.org/manuscript/296	yes	0	0	0	INFO	REF_NO_LOCI
261		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	229	https://jalit.org/manuscript/229	yes	0	0	0	INFO	REF_NO_LOCI
264		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	222	https://jalit.org/manuscript/222	yes	0	0	0	INFO	REF_NO_LOCI
266		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	159	https://jalit.org/manuscript/159	yes	0	0	0	INFO	REF_NO_LOCI
266		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	258	https://jalit.org/manuscript/258	yes	0	0	0	INFO	REF_NO_LOCI
266		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	298	https://jalit.org/manuscript/298	yes	0	0	0	INFO	REF_NO_LOCI
266		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	297	https://jalit.org/manuscript/297	yes	0	0	0	INFO	REF_NO_LOCI
266		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	296	https://jalit.org/manuscript/296	yes	0	0	0	INFO	REF_NO_LOCI
271		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	90	https://jalit.org/manuscript/90	yes	0	0	0	INFO	REF_NO_LOCI
284		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	21	https://jalit.org/manuscript/21	yes	0	0	0	INFO	REF_NO_LOCI
296		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	266	https://jalit.org/manuscript/266	yes	0	0	0	INFO	REF_NO_LOCI
296		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	159	https://jalit.org/manuscript/159	yes	0	0	0	INFO	REF_NO_LOCI
296		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	258	https://jalit.org/manuscript/258	yes	0	0	0	INFO	REF_NO_LOCI
296		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	298	https://jalit.org/manuscript/298	yes	0	0	0	INFO	REF_NO_LOCI
296		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	297	https://jalit.org/manuscript/297	yes	0	0	0	INFO	REF_NO_LOCI
297		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	266	https://jalit.org/manuscript/266	yes	0	0	0	INFO	REF_NO_LOCI
297		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	159	https://jalit.org/manuscript/159	yes	0	0	0	INFO	REF_NO_LOCI
297		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	258	https://jalit.org/manuscript/258	yes	0	0	0	INFO	REF_NO_LOCI
297		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	298	https://jalit.org/manuscript/298	yes	0	0	0	INFO	REF_NO_LOCI
297		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	296	https://jalit.org/manuscript/296	yes	0	0	0	INFO	REF_NO_LOCI
298		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	266	https://jalit.org/manuscript/266	yes	0	0	0	INFO	REF_NO_LOCI
298		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	159	https://jalit.org/manuscript/159	yes	0	0	0	INFO	REF_NO_LOCI
298		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	258	https://jalit.org/manuscript/258	yes	0	0	0	INFO	REF_NO_LOCI
298		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	297	https://jalit.org/manuscript/297	yes	0	0	0	INFO	REF_NO_LOCI
298		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	296	https://jalit.org/manuscript/296	yes	0	0	0	INFO	REF_NO_LOCI
299		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	241	https://jalit.org/manuscript/241	yes	0	0	0	INFO	REF_NO_LOCI
300		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	169	https://jalit.org/manuscript/169	yes	0	0	0	INFO	REF_NO_LOCI
300		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	218	https://jalit.org/manuscript/218	yes	0	0	0	INFO	REF_NO_LOCI
302		TEI/text/body/listBibl/msDesc/physDesc/ab/listBibl/bibl	219	https://jalit.org/manuscript/219	yes	0	0	0	INFO	REF_NO_LOCI
